team_slug,reporter_name,tier,outlet_notes,twitter_handle,rss_url
buffalo-bills,Sal Cappaccio,1,WGR 550 / Bills insider; one of the most plugged-in reporters on the beat,,
miami-dolphins,Omar Kelly,1,Sun Sentinel / co-host of Dolphins in Depth; one of the longest-tenured beat writers,,
new-england-patriots,Tom Curran,1,NBC Sports Boston; longest-tenured and most well-sourced Patriots insider,,
new-york-jets,Rich Cimini,1,"ESPN; primary national reporter on the Jets beat for 30+ years, the most tenured voice on the beat",,
baltimore-ravens,Jeff Zrebiec,1,"The Athletic; most tenured and well-sourced Ravens beat writer, covering the team since 2011",,
cincinnati-bengals,Paul Dehner Jr.,1,"The Athletic; most authoritative Bengals beat writer, inside access to the organization",,
cleveland-browns,Mary Kay Cabot,1,"Cleveland.com / Plain Dealer; the most tenured Browns reporter in the game, covering the team since 1988 and winner of the 2025 Bill Nunn Memorial Award from the PFWA",,
pittsburgh-steelers,Gerry Dulac,1,"Pittsburgh Post-Gazette; the most senior and well-sourced Steelers insider, covering the team for decades",,
houston-texans,DJ Bien-Aime,1,"ESPN; primary national reporter assigned to the Texans, daily beat coverage",,
indianapolis-colts,Stephen Holder,1,"ESPN; primary national reporter assigned to the Colts, covering Indianapolis since 2013",,
jacksonville-jaguars,John Oehser,1,"Jaguars.com; the most senior and authoritative Jaguars beat writer, senior writer since the team's early years, hosts the O-Zone podcast",,
tennessee-titans,Paul Kuharsky,1,"PaulKuharsky.com (independent); the definitive Titans beat voice, covering the franchise since 1996 first for The Tennessean then ESPN, now independently — Pro Football Hall of Fame voter",,
denver-broncos,Mike Klis,1,"9NEWS Denver; the most senior and well-sourced Broncos beat reporter, covering the team for decades, a household name in Denver",,
kansas-city-chiefs,Nate Taylor,1,"ESPN; joined July 2025 as the primary Chiefs NFL Nation reporter, covering the team since 2018, 2022 PFWA Bob Oates beat reporting award winner",,
las-vegas-raiders,Paul Gutierrez,1,"Raiders.com / ESPN contributor; senior Raiders writer with deep organizational access, hosts official team podcasts",,
los-angeles-chargers,Kris Rhim,1,"ESPN; primary NFL Nation reporter assigned to the Chargers since September 2023, previously covered the Ravens for the Baltimore Banner",,
dallas-cowboys,Jon Machota,1,"The Athletic; widely considered one of the best on the beat for detailed feature stories, camp notebooks, and reliable insight.",,
new-york-giants,Jordan Raanan,1,"ESPN; the network's dedicated Giants reporter. Plugs deeply into contract metrics, injury updates, and front-office strategy.",,
philadelphia-eagles,Zach Berman,1,"PHLY Sports; universally respected on the beat for his objective, comprehensive practice logs, thorough player profiles, and steady, non-reactionary insider reporting.",,
washington-commanders,John Keim,1,"ESPN; widely considered the most plugged-in and reliable insider on the entire beat for concrete, non-reactionary news.",,
chicago-bears,Brad Biggs,1,"Chicago Tribune; the absolute heavyweight of the Bears beat. His weekly ""10 Thoughts"" column is mandatory reading, and his sourcing on front-office operations and contract numbers is incredibly precise.",,
detroit-lions,Tim Twentyman,1,"DetroitLions.com; senior club writer with unparalleled daily practice access, tracking targets, defensive formations, and standard conditioning updates directly from Allen Park.",,
